Tamaño del Texto;Tiempo Precomputación (microsegundos);Tiempo Contar Patrón (microsegundos);Tiempo Total (microsegundos);Varianza Precomputación (microsegundos);Variaza  Contar Patrón (microsegundos);Varianza Total (microsegundos)
100;2;9529;9531;2;50927768;50929358
150;3;3885;3888;3;807;873
200;4;6030;6034;4;2147;2172
250;4;10364;10368;5;26469424;26467869
300;5;4606;4611;4;1654;1707
350;6;7204;7210;3;1512;1578
400;6;6595;6601;3;1383;1439
450;7;7533;7540;3;2409;2470
500;8;5362;5370;3;1074;1099
550;8;8255;8263;3;4292510;4290689
600;9;9809;9818;3;2471;2509
650;9;6892;6901;4;2033;2114
700;10;9517;9528;5;2439;2523
750;11;7897;7908;3;1637;1637
800;11;5358;5369;3;1334;1384
850;12;6261;6273;3;2432;2503
900;13;5933;5946;4;48959;49019
950;13;12472;12485;3;7998287;7999066
1000;14;7419;7433;3;3275;3372
