10000;21227;1;21228;51146210;3;51146887
20000;40374;2;40376;14633;4;14810
30000;61102;2;61104;50859;3;51267
40000;93802;2;93804;455156538;3;455156043
50000;117503;3;117505;281555064;4;281569860
60000;142292;3;142294;493241908;3;493241154
70000;169639;4;169642;915039487;3;915027147
80000;199134;5;199139;992925448;3;992930162
90000;219664;5;219669;361496024;4;361501101
100000;252401;5;252405;815203116;4;815200255
110000;278724;6;278731;3011472810;5;3011471230
120000;303688;6;303695;2361307029;5;2361310286
130000;340070;6;340076;2637697028;6;2637681880
140000;362907;7;362914;2661415787;4;2661501431
150000;398095;8;398103;4562006848;9;4561990990
160000;418781;8;418789;4093121466;3;4093143675
170000;474475;9;474484;5446891399;3;5446858342
180000;474830;8;474838;2845725020;6;2845780934
190000;520453;8;520461;2988166844;6;2988197071
200000;580457;8;580465;9520593813;4;9520663211
